mode,run,wall_ms,duration_ms,read_rows,read_bytes,memory_usage
"hot","1","101",23,8247393,115477976,6818180
"hot","2","96",22,8247393,115477976,6818020
"hot","3","102",23,8247393,115477976,6818020
"hot","4","103",21,8247393,115477976,6818180
"hot","5","98",21,8247393,115477976,6818020
"hot","6","102",21,8247393,115477976,6818020
"hot","7","97",21,8247393,115477976,6818020
"hot","8","108",22,8247393,115477976,6818020
"hot","9","104",21,8247393,115477976,6818020
"hot","10","95",21,8247393,115477976,6818020
"hot","11","108",22,8247393,115477976,6818020
"hot","12","95",21,8247393,115477976,6818020
"hot","13","103",23,8247393,115477976,6818020
"hot","14","101",20,8247393,115477976,6818020
"hot","15","94",20,8247393,115477976,6818020
