regime,run,wall_ms,duration_ms,read_rows,read_bytes,memory_usage,selected_marks,selected_parts,selected_ranges
"directio","1","267",212,8222000,115108000,5331535,1004,1,1
"directio","2","184",136,8222000,115108000,5260991,1004,1,1
"directio","3","205",156,8222000,115108000,5333023,1004,1,1
"directio","4","180",128,8222000,115108000,5399775,1004,1,1
"directio","5","182",134,8222000,115108000,5197487,1004,1,1
"directio","6","236",176,8222000,115108000,5265935,1004,1,1
"directio","7","243",186,8222000,115108000,5262111,1004,1,1
"directio","8","239",179,8222000,115108000,5263711,1004,1,1
"directio","9","239",177,8222000,115108000,5330511,1004,1,1
"directio","10","176",124,8222000,115108000,5258911,1004,1,1
"directio","11","175",127,8222000,115108000,5262079,1004,1,1
"directio","12","184",132,8222000,115108000,5265999,1004,1,1
"directio","13","174",126,8222000,115108000,5327183,1004,1,1
"directio","14","177",128,8222000,115108000,5399407,1004,1,1
"directio","15","180",130,8222000,115108000,5240479,1004,1,1
"directio","16","183",133,8222000,115108000,5260863,1004,1,1
"directio","17","180",131,8222000,115108000,5258959,1004,1,1
"directio","18","180",130,8222000,115108000,5262959,1004,1,1
"directio","19","188",139,8222000,115108000,5328719,1004,1,1
"directio","20","180",125,8222000,115108000,5332031,1004,1,1
