regime,run,wall_ms,duration_ms,read_rows,read_bytes,memory_usage,selected_marks,selected_parts,selected_ranges
"hot","1","162",111,8222000,115108000,5293943,1004,1,1
"hot","2","179",117,8222000,115108000,5193569,1004,1,1
"hot","3","163",114,8222000,115108000,5288615,1004,1,1
"hot","4","157",108,8222000,115108000,5228903,1004,1,1
"hot","5","158",106,8222000,115108000,5299191,1004,1,1
"hot","6","234",177,8222000,115108000,5228151,1004,1,1
"hot","7","728",664,8222000,115108000,5160839,1004,1,1
"hot","8","164",110,8222000,115108000,5292679,1004,1,1
"hot","9","167",113,8222000,115108000,5296455,1004,1,1
"hot","10","162",109,8222000,115108000,5230039,1004,1,1
"hot","11","157",108,8222000,115108000,5295591,1004,1,1
"hot","12","159",111,8222000,115108000,5227687,1004,1,1
"hot","13","158",110,8222000,115108000,5294023,1004,1,1
"hot","14","160",109,8222000,115108000,5365191,1004,1,1
"hot","15","162",113,8222000,115108000,5229479,1004,1,1
"hot","16","154",107,8222000,115108000,5365575,1004,1,1
"hot","17","228",167,8222000,115108000,5298199,1004,1,1
"hot","18","201",151,8222000,115108000,5228023,1004,1,1
"hot","19","222",161,8222000,115108000,5295415,1004,1,1
"hot","20","232",169,8222000,115108000,5297175,1004,1,1
