round,label,wall_ms,duration_ms,read_rows,read_bytes,selected_marks
1,baseline,73,27,434176,6078464,53
1,way1,72,23,434176,6078464,53
1,way2,100,31,434176,6078464,53
1,way3,179,128,8222000,115108000,1004
1,way4,54,5,7099,307543,1
2,baseline,70,25,434176,6078464,53
2,way1,70,24,434176,6078464,53
2,way2,75,27,434176,6078464,53
2,way3,182,137,8222000,115108000,1004
2,way4,54,5,7099,307543,1
3,baseline,72,26,434176,6078464,53
3,way1,74,26,434176,6078464,53
3,way2,74,28,434176,6078464,53
3,way3,178,130,8222000,115108000,1004
3,way4,58,5,7099,307543,1
4,baseline,73,26,434176,6078464,53
4,way1,67,20,434176,6078464,53
4,way2,75,29,434176,6078464,53
4,way3,172,126,8222000,115108000,1004
4,way4,52,5,7099,307543,1
5,baseline,72,26,434176,6078464,53
5,way1,75,26,434176,6078464,53
5,way2,85,36,434176,6078464,53
5,way3,183,138,8222000,115108000,1004
5,way4,53,6,7099,307543,1
6,baseline,92,37,434176,6078464,53
6,way1,71,24,434176,6078464,53
6,way2,76,29,434176,6078464,53
6,way3,173,127,8222000,115108000,1004
6,way4,52,5,7099,307543,1
7,baseline,74,27,434176,6078464,53
7,way1,73,25,434176,6078464,53
7,way2,74,26,434176,6078464,53
7,way3,191,146,8222000,115108000,1004
7,way4,52,5,7099,307543,1
8,baseline,77,28,434176,6078464,53
8,way1,72,27,434176,6078464,53
8,way2,75,28,434176,6078464,53
8,way3,176,126,8222000,115108000,1004
8,way4,53,5,7099,307543,1
9,baseline,76,28,434176,6078464,53
9,way1,71,21,434176,6078464,53
9,way2,75,29,434176,6078464,53
9,way3,184,137,8222000,115108000,1004
9,way4,56,5,7099,307543,1
10,baseline,77,30,434176,6078464,53
10,way1,70,24,434176,6078464,53
10,way2,74,28,434176,6078464,53
10,way3,174,128,8222000,115108000,1004
10,way4,52,6,7099,307543,1
11,baseline,78,29,434176,6078464,53
11,way1,70,24,434176,6078464,53
11,way2,75,30,434176,6078464,53
11,way3,177,131,8222000,115108000,1004
11,way4,52,5,7099,307543,1
12,baseline,71,26,434176,6078464,53
12,way1,73,26,434176,6078464,53
12,way2,75,27,434176,6078464,53
12,way3,184,137,8222000,115108000,1004
12,way4,55,6,7099,307543,1
13,baseline,74,28,434176,6078464,53
13,way1,69,23,434176,6078464,53
13,way2,75,28,434176,6078464,53
13,way3,175,130,8222000,115108000,1004
13,way4,52,5,7099,307543,1
14,baseline,72,27,434176,6078464,53
14,way1,72,27,434176,6078464,53
14,way2,77,30,434176,6078464,53
14,way3,177,130,8222000,115108000,1004
14,way4,69,7,7099,307543,1
15,baseline,106,42,434176,6078464,53
15,way1,76,25,434176,6078464,53
15,way2,74,29,434176,6078464,53
15,way3,181,132,8222000,115108000,1004
15,way4,52,6,7099,307543,1
16,baseline,74,27,434176,6078464,53
16,way1,71,25,434176,6078464,53
16,way2,79,29,434176,6078464,53
16,way3,191,144,8222000,115108000,1004
16,way4,55,5,7099,307543,1
17,baseline,87,37,434176,6078464,53
17,way1,81,29,434176,6078464,53
17,way2,82,31,434176,6078464,53
17,way3,177,129,8222000,115108000,1004
17,way4,54,5,7099,307543,1
18,baseline,74,27,434176,6078464,53
18,way1,71,23,434176,6078464,53
18,way2,68,22,434176,6078464,53
18,way3,182,137,8222000,115108000,1004
18,way4,65,7,7099,307543,1
19,baseline,70,23,434176,6078464,53
19,way1,69,23,434176,6078464,53
19,way2,66,20,434176,6078464,53
19,way3,178,134,8222000,115108000,1004
19,way4,54,5,7099,307543,1
20,baseline,66,20,434176,6078464,53
20,way1,69,23,434176,6078464,53
20,way2,71,22,434176,6078464,53
20,way3,190,144,8222000,115108000,1004
20,way4,52,5,7099,307543,1
