regime,run,wall_ms,duration_ms,read_rows,read_bytes,memory_usage,selected_marks,selected_parts,selected_ranges
"hot","1","55",3,8192,99388,176772,1,1,1
"hot","2","59",5,8192,99388,176772,1,1,1
"hot","3","56",3,8192,99388,176772,1,1,1
"hot","4","54",3,8192,99388,176772,1,1,1
"hot","5","53",3,8192,99388,176772,1,1,1
"hot","6","52",3,8192,99388,176772,1,1,1
"hot","7","51",3,8192,99388,176772,1,1,1
"hot","8","66",4,8192,99388,176772,1,1,1
"hot","9","51",3,8192,99388,176772,1,1,1
"hot","10","54",3,8192,99388,176772,1,1,1
"hot","11","52",3,8192,99388,176772,1,1,1
"hot","12","52",3,8192,99388,176772,1,1,1
"hot","13","52",3,8192,99388,176772,1,1,1
"hot","14","51",3,8192,99388,176772,1,1,1
"hot","15","53",3,8192,99388,176772,1,1,1
