regime,run,wall_ms,duration_ms,read_rows,read_bytes,memory_usage,selected_marks,selected_parts,selected_ranges
"hot","1","54",4,8192,237568,177300,1,1,1
"hot","2","55",3,8192,237568,177300,1,1,1
"hot","3","55",3,8192,237568,177300,1,1,1
"hot","4","51",3,8192,237568,177300,1,1,1
"hot","5","54",3,8192,237568,177300,1,1,1
"hot","6","54",3,8192,237568,177300,1,1,1
"hot","7","67",3,8192,237568,177300,1,1,1
"hot","8","49",3,8192,237568,177300,1,1,1
"hot","9","54",3,8192,237568,177300,1,1,1
"hot","10","52",3,8192,237568,177300,1,1,1
"hot","11","51",3,8192,237568,177300,1,1,1
"hot","12","50",3,8192,237568,177300,1,1,1
"hot","13","55",3,8192,237568,177300,1,1,1
"hot","14","60",3,8192,237568,177300,1,1,1
"hot","15","51",4,8192,237568,177300,1,1,1
