mode,run,wall_ms,duration_ms,read_rows,read_bytes,memory_usage,selected_marks,selected_parts,selected_ranges
"hot","1","64",6,81920,1107936,1518142,10,8,10
"hot","2","58",6,81920,1107936,1518510,10,8,10
"hot","3","58",4,81920,1107936,1518654,10,8,10
"hot","4","59",6,81920,1107936,1518366,10,8,10
"hot","5","59",6,81920,1107936,1518446,10,8,10
"hot","6","64",6,81920,1107936,1201841,10,8,10
"hot","7","57",5,81920,1107936,1518462,10,8,10
"hot","8","79",9,81920,1107936,1517998,10,8,10
"hot","9","59",6,81920,1107936,1518238,10,8,10
"hot","10","63",6,81920,1107936,1518302,10,8,10
