mode,run,wall_ms,duration_ms,read_rows,read_bytes,memory_usage,selected_marks,selected_parts,selected_ranges
"hot","1","62",4,65536,1048576,1337092,8,8,8
"hot","2","59",4,65536,1048576,1337348,8,8,8
"hot","3","66",5,65536,1048576,1337220,8,8,8
"hot","4","60",6,65536,1048576,1337220,8,8,8
"hot","5","57",4,65536,1048576,1337284,8,8,8
"hot","6","56",4,65536,1048576,1337284,8,8,8
"hot","7","61",4,65536,1048576,1337476,8,8,8
"hot","8","66",6,65536,1048576,1051165,8,8,8
"hot","9","58",5,65536,1048576,1337028,8,8,8
"hot","10","65",4,65536,1048576,1337284,8,8,8
