regime,run,wall_ms,duration_ms,read_rows,read_bytes,memory_usage,selected_marks,selected_parts,selected_ranges
"hot","1","66",7,554288,2217152,3092225,68,1,1
"hot","2","58",8,554288,2217152,3091713,68,1,1
"hot","3","57",7,554288,2217152,3092097,68,1,1
"hot","4","55",7,554288,2217152,2626603,68,1,1
"hot","5","56",7,554288,2217152,3092033,68,1,1
"hot","6","57",8,554288,2217152,3092225,68,1,1
"hot","7","58",9,554288,2217152,2626763,68,1,1
"hot","8","57",8,554288,2217152,3091905,68,1,1
"hot","9","56",7,554288,2217152,3092033,68,1,1
"hot","10","60",9,554288,2217152,3091457,68,1,1
"hot","11","56",8,554288,2217152,3092033,68,1,1
"hot","12","61",8,554288,2217152,3091713,68,1,1
