regime,run,wall_ms,duration_ms,read_rows,read_bytes,memory_usage,selected_marks,selected_parts,selected_ranges
"hot","1","77",25,6051120,24204480,3543168,739,1,88
"hot","2","77",25,6051120,24204480,3542480,739,1,88
"hot","3","85",30,6051120,24204480,3542672,739,1,88
"hot","4","81",31,6051120,24204480,3543200,739,1,88
"hot","5","82",28,6051120,24204480,3544336,739,1,88
"hot","6","85",26,6051120,24204480,3541920,739,1,88
"hot","7","76",25,6051120,24204480,3543296,739,1,88
"hot","8","77",26,6051120,24204480,3544320,739,1,88
"hot","9","78",26,6051120,24204480,3542240,739,1,88
"hot","10","83",30,6051120,24204480,3544816,739,1,88
"hot","11","77",27,6051120,24204480,3543136,739,1,88
"hot","12","76",25,6051120,24204480,3544208,739,1,88
