regime,run,wall_ms,duration_ms,read_rows,read_bytes,memory_usage,selected_marks,selected_parts,selected_ranges
"directio","1","82",30,434176,6078464,11639218,53,1,1
"directio","2","78",28,434176,6078464,8180722,53,1,1
"directio","3","81",29,434176,6078464,11446546,53,1,1
"directio","4","84",29,434176,6078464,7787010,53,1,1
"directio","5","79",27,434176,6078464,12085242,53,1,1
"directio","6","96",28,434176,6078464,7786946,53,1,1
"directio","7","79",27,434176,6078464,12085242,53,1,1
"directio","8","101",38,434176,6078464,8180866,53,1,1
"directio","9","119",52,434176,6078464,7719570,53,1,1
"directio","10","108",42,434176,6078464,7720322,53,1,1
"directio","11","123",49,434176,6078464,9237593,53,1,1
"directio","12","84",33,434176,6078464,11446546,53,1,1
"directio","13","83",32,434176,6078464,7719906,53,1,1
"directio","14","86",29,434176,6078464,7786946,53,1,1
"directio","15","82",30,434176,6078464,8111725,53,1,1
"directio","16","79",27,434176,6078464,7786434,53,1,1
"directio","17","78",28,434176,6078464,8311970,53,1,1
"directio","18","83",32,434176,6078464,7209802,53,1,1
"directio","19","82",26,434176,6078464,8180674,53,1,1
"directio","20","81",29,434176,6078464,7786434,53,1,1
