regime,run,wall_ms,duration_ms,read_rows,read_bytes,memory_usage,selected_marks,selected_parts,selected_ranges
"hot","1","80",27,434176,6078464,12054366,53,1,1
"hot","2","76",23,434176,6078464,8149798,53,1,1
"hot","3","76",23,434176,6078464,8149798,53,1,1
"hot","4","76",24,434176,6078464,7756134,53,1,1
"hot","5","82",28,434176,6078464,12054366,53,1,1
"hot","6","84",32,434176,6078464,7755558,53,1,1
"hot","7","84",29,434176,6078464,7756134,53,1,1
"hot","8","76",23,434176,6078464,12054366,53,1,1
"hot","9","83",27,434176,6078464,7440209,53,1,1
"hot","10","78",27,434176,6078464,7178414,53,1,1
"hot","11","79",30,434176,6078464,12054366,53,1,1
"hot","12","79",27,434176,6078464,8149798,53,1,1
"hot","13","75",25,434176,6078464,12054366,53,1,1
"hot","14","98",41,434176,6078464,7689766,53,1,1
"hot","15","75",24,434176,6078464,12054366,53,1,1
"hot","16","78",25,434176,6078464,12054366,53,1,1
"hot","17","95",36,434176,6078464,7756662,53,1,1
"hot","18","95",32,434176,6078464,7756326,53,1,1
"hot","19","100",32,434176,6078464,12054606,53,1,1
"hot","20","110",35,434176,6078464,7621953,53,1,1
