regime,run,wall_ms,duration_ms,read_rows,read_bytes,memory_usage,selected_marks,selected_parts,selected_ranges
"hot","1","186",135,8222000,139774000,17720997,1004,1,1
"hot","2","193",138,8222000,139774000,17909989,1004,1,1
"hot","3","183",132,8222000,139774000,17248959,1004,1,1
"hot","4","189",140,8222000,139774000,17681114,1004,1,1
"hot","5","177",130,8222000,139774000,17890958,1004,1,1
"hot","6","191",135,8222000,139774000,17885262,1004,1,1
"hot","7","191",137,8222000,139774000,17885582,1004,1,1
"hot","8","183",134,8222000,139774000,17719781,1004,1,1
"hot","9","231",181,8222000,139774000,18029156,1004,1,1
"hot","10","293",221,8222000,139774000,17657190,1004,1,1
"hot","11","257",198,8222000,139774000,17718893,1004,1,1
"hot","12","254",190,8222000,139774000,17726476,1004,1,1
