regime,run,wall_ms,duration_ms,read_rows,read_bytes,memory_usage,selected_marks,selected_parts,selected_ranges
"hot","1","98",47,8222000,41110000,2176186,1004,1,1
"hot","2","95",44,8222000,41110000,2178138,1004,1,1
"hot","3","92",42,8222000,41110000,2176090,1004,1,1
"hot","4","88",40,8222000,41110000,2177610,1004,1,1
"hot","5","95",47,8222000,41110000,2178154,1004,1,1
"hot","6","96",46,8222000,41110000,2176074,1004,1,1
"hot","7","93",45,8222000,41110000,2176922,1004,1,1
"hot","8","99",41,8222000,41110000,2177386,1004,1,1
"hot","9","89",39,8222000,41110000,2175770,1004,1,1
"hot","10","96",46,8222000,41110000,2177066,1004,1,1
"hot","11","95",43,8222000,41110000,2176010,1004,1,1
"hot","12","98",42,8222000,41110000,2176234,1004,1,1
