regime,run,wall_ms,duration_ms,read_rows,read_bytes,memory_usage,selected_marks,selected_parts,selected_ranges
"directio","1","97",36,434176,6078464,8522226,53,1,1
"directio","2","100",34,434176,6078464,8652274,53,1,1
"directio","3","101",40,434176,6078464,8123986,53,1,1
"directio","4","95",42,434176,6078464,6801785,53,1,1
"directio","5","89",34,434176,6078464,11255186,53,1,1
"directio","6","102",39,434176,6078464,7549034,53,1,1
"directio","7","112",35,434176,6078464,11846226,53,1,1
"directio","8","118",47,434176,6078464,8056530,53,1,1
"directio","9","90",34,434176,6078464,11255570,53,1,1
"directio","10","101",46,434176,6078464,8124450,53,1,1
"directio","11","96",38,434176,6078464,8122642,53,1,1
"directio","12","96",35,434176,6078464,7204263,53,1,1
"directio","13","78",26,434176,6078464,8517714,53,1,1
"directio","14","99",36,434176,6078464,8123954,53,1,1
"directio","15","75",26,434176,6078464,8123922,53,1,1
"directio","16","72",25,434176,6078464,8649778,53,1,1
"directio","17","83",28,434176,6078464,8518738,53,1,1
"directio","18","76",26,434176,6078464,8518226,53,1,1
"directio","19","74",26,434176,6078464,7849652,53,1,1
"directio","20","77",29,434176,6078464,8123922,53,1,1
