regime,run,wall_ms,duration_ms,read_rows,read_bytes,memory_usage,selected_marks,selected_parts,selected_ranges
"hot","1","80",30,434176,6078464,8484477,53,1,1
"hot","2","71",21,434176,6078464,12388981,53,1,1
"hot","3","75",22,434176,6078464,12388981,53,1,1
"hot","4","94",37,434176,6078464,6820373,53,1,1
"hot","5","87",28,434176,6078464,12389317,53,1,1
"hot","6","74",23,434176,6078464,12388981,53,1,1
"hot","7","70",22,434176,6078464,12388981,53,1,1
"hot","8","78",21,434176,6078464,11755925,53,1,1
"hot","9","72",22,434176,6078464,8090685,53,1,1
"hot","10","70",22,434176,6078464,11915186,53,1,1
"hot","11","75",26,434176,6078464,12388981,53,1,1
"hot","12","70",22,434176,6078464,12389173,53,1,1
"hot","13","77",24,434176,6078464,8090877,53,1,1
"hot","14","74",25,434176,6078464,12389173,53,1,1
"hot","15","73",25,434176,6078464,8090749,53,1,1
"hot","16","74",25,434176,6078464,8091069,53,1,1
"hot","17","90",33,434176,6078464,12389605,53,1,1
"hot","18","71",22,434176,6078464,8484989,53,1,1
"hot","19","74",21,434176,6078464,8090685,53,1,1
"hot","20","84",27,434176,6078464,11881645,53,1,1
