regime,run,wall_ms,duration_ms,read_rows,read_bytes,memory_usage,selected_marks,selected_parts,selected_ranges
"directio","1","234",185,8222000,115108000,6300239,1004,1,1
"directio","2","240",190,8222000,115108000,6307103,1004,1,1
"directio","3","232",180,8222000,115108000,6240319,1004,1,1
"directio","4","230",176,8222000,115108000,6167855,1004,1,1
"directio","5","233",178,8222000,115108000,6374847,1004,1,1
"directio","6","232",183,8222000,115108000,6240079,1004,1,1
"directio","7","233",182,8222000,115108000,6306127,1004,1,1
"directio","8","233",183,8222000,115108000,6171903,1004,1,1
"directio","9","236",183,8222000,115108000,6308271,1004,1,1
"directio","10","238",187,8222000,115108000,6240127,1004,1,1
"directio","11","229",180,8222000,115108000,6234447,1004,1,1
"directio","12","278",224,8222000,115108000,6236943,1004,1,1
"directio","13","236",186,8222000,115108000,6239663,1004,1,1
"directio","14","233",184,8222000,115108000,6237503,1004,1,1
"directio","15","234",188,8222000,115108000,6240735,1004,1,1
"directio","16","238",186,8222000,115108000,6307887,1004,1,1
"directio","17","232",184,8222000,115108000,6239535,1004,1,1
"directio","18","229",179,8222000,115108000,6242271,1004,1,1
"directio","19","247",195,8222000,115108000,6377791,1004,1,1
"directio","20","233",182,8222000,115108000,6306031,1004,1,1
