regime,run,wall_ms,duration_ms,read_rows,read_bytes,memory_usage,selected_marks,selected_parts,selected_ranges
"hot","1","213",156,8222000,115108000,6197287,1004,1,1
"hot","2","278",224,8222000,115108000,6491247,1004,1,1
"hot","3","212",164,8222000,115108000,6268327,1004,1,1
"hot","4","215",163,8222000,115108000,6336583,1004,1,1
"hot","5","270",207,8222000,115108000,6201047,1004,1,1
"hot","6","262",199,8222000,115108000,6129559,1004,1,1
"hot","7","296",228,8222000,115108000,6202951,1004,1,1
"hot","8","268",205,8222000,115108000,6669575,1004,1,1
"hot","9","662",600,8222000,115108000,6268023,1004,1,1
"hot","10","289",226,8222000,115108000,6269895,1004,1,1
"hot","11","368",291,8222000,115108000,6274359,1004,1,1
"hot","12","205",155,8222000,115108000,6198343,1004,1,1
"hot","13","212",163,8222000,115108000,6264455,1004,1,1
"hot","14","209",161,8222000,115108000,6268679,1004,1,1
"hot","15","207",157,8222000,115108000,6131031,1004,1,1
"hot","16","210",159,8222000,115108000,6196887,1004,1,1
"hot","17","208",161,8222000,115108000,6130343,1004,1,1
"hot","18","205",156,8222000,115108000,6264199,1004,1,1
"hot","19","212",163,8222000,115108000,6340807,1004,1,1
"hot","20","204",155,8222000,115108000,6233935,1004,1,1
