regime,run,wall_ms,duration_ms,read_rows,read_bytes,memory_usage,selected_marks,selected_parts,selected_ranges
"directio","1","97",45,434176,6078464,8124114,53,1,1
"directio","2","74",25,434176,6078464,12422218,53,1,1
"directio","3","78",26,434176,6078464,12422218,53,1,1
"directio","4","82",27,434176,6078464,8123922,53,1,1
"directio","5","81",29,434176,6078464,7989245,53,1,1
"directio","6","84",28,434176,6078464,8123922,53,1,1
"directio","7","74",25,434176,6078464,8123922,53,1,1
"directio","8","82",30,434176,6078464,8518738,53,1,1
"directio","9","79",25,434176,6078464,8123922,53,1,1
"directio","10","96",32,434176,6078464,8650738,53,1,1
"directio","11","109",41,434176,6078464,8123042,53,1,1
"directio","12","101",38,434176,6078464,12422778,53,1,1
"directio","13","496",436,434176,6078464,8651458,53,1,1
"directio","14","77",25,434176,6078464,12422730,53,1,1
"directio","15","77",26,434176,6078464,8518738,53,1,1
"directio","16","76",25,434176,6078464,8124434,53,1,1
"directio","17","86",35,434176,6078464,8122578,53,1,1
"directio","18","77",24,434176,6078464,8519250,53,1,1
"directio","19","86",26,434176,6078464,8123986,53,1,1
"directio","20","78",28,434176,6078464,8518738,53,1,1
