regime,run,wall_ms,duration_ms,read_rows,read_bytes,memory_usage,selected_marks,selected_parts,selected_ranges
"hot","1","92",32,434176,6078464,8091037,53,1,1
"hot","2","89",36,434176,6078464,10145480,53,1,1
"hot","3","100",36,434176,6078464,11864693,53,1,1
"hot","4","110",35,434176,6078464,7956520,53,1,1
"hot","5","126",49,434176,6078464,8616829,53,1,1
"hot","6","104",42,434176,6078464,12389941,53,1,1
"hot","7","102",43,434176,6078464,7774312,53,1,1
"hot","8","89",27,434176,6078464,7955960,53,1,1
"hot","9","103",36,434176,6078464,8024157,53,1,1
"hot","10","115",40,434176,6078464,8487661,53,1,1
"hot","11","87",28,434176,6078464,12389413,53,1,1
"hot","12","86",26,434176,6078464,6789631,53,1,1
"hot","13","101",30,434176,6078464,12389173,53,1,1
"hot","14","90",33,434176,6078464,7774504,53,1,1
"hot","15","97",27,434176,6078464,7817103,53,1,1
"hot","16","90",38,434176,6078464,7581445,53,1,1
"hot","17","93",28,434176,6078464,8485421,53,1,1
"hot","18","417",350,434176,6078464,7051200,53,1,1
"hot","19","79",24,434176,6078464,12393621,53,1,1
"hot","20","73",22,434176,6078464,12388981,53,1,1
