mode,run,wall_ms,duration_ms,read_rows,read_bytes,memory_usage,selected_marks,selected_parts,selected_ranges
"hot","1","80",25,434176,6078464,7915106,53,1,1
"hot","2","83",24,434176,6078464,11693672,53,1,1
"hot","3","79",19,434176,6078464,7948898,53,1,1
"hot","4","75",19,434176,6078464,12331720,53,1,1
"hot","5","81",24,434176,6078464,8408498,53,1,1
"hot","6","75",21,434176,6078464,11630167,53,1,1
"hot","7","77",21,434176,6078464,12331720,53,1,1
"hot","8","77",22,434176,6078464,7948898,53,1,1
"hot","9","80",22,434176,6078464,7948898,53,1,1
"hot","10","117",37,434176,6078464,7247841,53,1,1
"hot","11","107",27,434176,6078464,7949154,53,1,1
"hot","12","102",31,434176,6078464,7497171,53,1,1
"hot","13","80",22,434176,6078464,8408066,53,1,1
"hot","14","83",25,434176,6078464,7948962,53,1,1
"hot","15","88",24,434176,6078464,7949154,53,1,1
