regime,run,wall_ms,duration_ms,read_rows,read_bytes,memory_usage,selected_marks,selected_parts,selected_ranges
"hot","1","178",121,8222000,115108000,4358547,1004,1,1
"hot","2","212",158,8222000,115108000,4357011,1004,1,1
"hot","3","160",108,8222000,115108000,4359667,1004,1,1
"hot","4","214",151,8222000,115108000,4354723,1004,1,1
"hot","5","214",156,8222000,115108000,4637017,1004,1,1
"hot","6","209",155,8222000,115108000,4359395,1004,1,1
"hot","7","174",115,8222000,115108000,4354339,1004,1,1
"hot","8","218",161,8222000,115108000,4364355,1004,1,1
"hot","9","167",116,8222000,115108000,4356755,1004,1,1
"hot","10","218",164,8222000,115108000,4359875,1004,1,1
"hot","11","211",151,8222000,115108000,4362979,1004,1,1
"hot","12","170",120,8222000,115108000,4354755,1004,1,1
"hot","13","233",177,8222000,115108000,4359619,1004,1,1
"hot","14","171",115,8222000,115108000,4352755,1004,1,1
"hot","15","278",202,8222000,115108000,4363235,1004,1,1
