regime,run,wall_ms,duration_ms,read_rows,read_bytes,memory_usage,selected_marks,selected_parts,selected_ranges
"directio","1","255",205,8222000,115108000,5262975,1004,1,1
"directio","2","205",139,8222000,115108000,5330415,1004,1,1
"directio","3","184",136,8222000,115108000,5264239,1004,1,1
"directio","4","260",197,8222000,115108000,5194815,1004,1,1
"directio","5","188",136,8222000,115108000,5191679,1004,1,1
"directio","6","191",136,8222000,115108000,5328831,1004,1,1
"directio","7","193",142,8222000,115108000,5261231,1004,1,1
"directio","8","183",131,8222000,115108000,5329951,1004,1,1
"directio","9","244",176,8222000,115108000,5262943,1004,1,1
"directio","10","181",127,8222000,115108000,5329519,1004,1,1
"directio","11","184",134,8222000,115108000,5198335,1004,1,1
"directio","12","187",135,8222000,115108000,5265535,1004,1,1
"directio","13","187",137,8222000,115108000,5264975,1004,1,1
"directio","14","177",128,8222000,115108000,5260159,1004,1,1
"directio","15","189",135,8222000,115108000,5330911,1004,1,1
"directio","16","183",133,8222000,115108000,5262095,1004,1,1
"directio","17","197",145,8222000,115108000,5261503,1004,1,1
"directio","18","180",130,8222000,115108000,5192559,1004,1,1
"directio","19","227",175,8222000,115108000,5263215,1004,1,1
"directio","20","186",134,8222000,115108000,5329935,1004,1,1
