regime,run,wall_ms,duration_ms,read_rows,read_bytes,memory_usage,selected_marks,selected_parts,selected_ranges
"hot","1","163",113,8222000,115108000,5230135,1004,1,1
"hot","2","172",118,8222000,115108000,5156823,1004,1,1
"hot","3","166",115,8222000,115108000,5226983,1004,1,1
"hot","4","168",111,8222000,115108000,5225639,1004,1,1
"hot","5","171",116,8222000,115108000,5299527,1004,1,1
"hot","6","248",194,8222000,115108000,5296007,1004,1,1
"hot","7","233",164,8222000,115108000,5697319,1004,1,1
"hot","8","219",150,8222000,115108000,5297559,1004,1,1
"hot","9","228",160,8222000,115108000,5227255,1004,1,1
"hot","10","229",166,8222000,115108000,5235463,1004,1,1
"hot","11","210",143,8222000,115108000,5293943,1004,1,1
"hot","12","231",170,8222000,115108000,5297095,1004,1,1
"hot","13","222",142,8222000,115108000,5297415,1004,1,1
"hot","14","230",167,8222000,115108000,5295511,1004,1,1
"hot","15","215",153,8222000,115108000,5228503,1004,1,1
"hot","16","174",114,8222000,115108000,5294231,1004,1,1
"hot","17","166",115,8222000,115108000,5295383,1004,1,1
"hot","18","157",108,8222000,115108000,5297783,1004,1,1
"hot","19","164",115,8222000,115108000,5294663,1004,1,1
"hot","20","164",113,8222000,115108000,5229607,1004,1,1
