regime,run,wall_ms,duration_ms,read_rows,read_bytes,memory_usage,selected_marks,selected_parts,selected_ranges
"hot","1","55",6,57344,917504,1342504,7,1,1
"hot","2","54",6,57344,917504,1342504,7,1,1
"hot","3","54",5,57344,917504,1342504,7,1,1
"hot","4","55",5,57344,917504,1342504,7,1,1
"hot","5","57",8,57344,917504,1342504,7,1,1
"hot","6","57",5,57344,917504,1342504,7,1,1
"hot","7","54",5,57344,917504,1342504,7,1,1
"hot","8","57",6,57344,917504,1342504,7,1,1
"hot","9","55",7,57344,917504,1342504,7,1,1
"hot","10","53",6,57344,917504,1342504,7,1,1
"hot","11","57",6,57344,917504,1342504,7,1,1
"hot","12","53",6,57344,917504,1342504,7,1,1
"hot","13","59",6,57344,917504,1342504,7,1,1
"hot","14","58",7,57344,917504,1342504,7,1,1
"hot","15","55",6,57344,917504,1342504,7,1,1
