regime,run,wall_ms,duration_ms,read_rows,read_bytes,memory_usage,selected_marks,selected_parts,selected_ranges
"hot","1","135",87,1515520,15111944,1717718,185,12,179
"hot","2","136",86,1515520,15111944,1667158,185,12,179
"hot","3","131",83,1515520,15111944,1745510,185,12,179
"hot","4","141",90,1515520,15111944,1727382,185,12,179
"hot","5","133",83,1515520,15111944,1734278,185,12,179
"hot","6","147",90,1515520,15111944,1733078,185,12,179
"hot","7","137",90,1515520,15111944,1734326,185,12,179
"hot","8","143",92,1515520,15111944,1728166,185,12,179
"hot","9","135",87,1515520,15111944,1727782,185,12,179
"hot","10","130",82,1515520,15111944,1734438,185,12,179
"hot","11","133",85,1515520,15111944,1726262,185,12,179
"hot","12","130",83,1515520,15111944,1737286,185,12,179
"hot","13","130",81,1515520,15111944,1734838,185,12,179
"hot","14","134",86,1515520,15111944,1734342,185,12,179
"hot","15","133",86,1515520,15111944,1746742,185,12,179
