regime,run,wall_ms,duration_ms,read_rows,read_bytes,memory_usage,selected_marks,selected_parts,selected_ranges
"directio","1","55",6,7099,307543,1646723,1,1,1
"directio","2","57",5,7099,307543,1646723,1,1,1
"directio","3","59",5,7099,307543,1646723,1,1,1
"directio","4","70",6,7099,307543,1646723,1,1,1
"directio","5","95",13,7099,307543,1646723,1,1,1
"directio","6","61",5,7099,307543,1646723,1,1,1
"directio","7","57",6,7099,307543,1646723,1,1,1
"directio","8","55",5,7099,307543,1646723,1,1,1
"directio","9","54",5,7099,307543,1646723,1,1,1
"directio","10","64",7,7099,307543,1647107,1,1,1
"directio","11","57",6,7099,307543,1646723,1,1,1
"directio","12","62",7,7099,307543,1646723,1,1,1
"directio","13","57",6,7099,307543,1646723,1,1,1
"directio","14","56",5,7099,307543,1646723,1,1,1
"directio","15","57",6,7099,307543,1646723,1,1,1
"directio","16","56",5,7099,307543,1646723,1,1,1
"directio","17","56",6,7099,307543,1646723,1,1,1
"directio","18","57",6,7099,307543,1646723,1,1,1
"directio","19","69",9,7099,307543,1646723,1,1,1
"directio","20","54",6,7099,307543,1646771,1,1,1
