regime,run,wall_ms,duration_ms,read_rows,read_bytes,memory_usage,selected_marks,selected_parts,selected_ranges
"hot","1","61",6,7099,307543,1639507,1,1,1
"hot","2","66",6,7099,307543,1639507,1,1,1
"hot","3","59",5,7099,307543,1639507,1,1,1
"hot","4","66",6,7099,307543,1639507,1,1,1
"hot","5","78",6,7099,307543,1639507,1,1,1
"hot","6","74",9,7099,307543,1639507,1,1,1
"hot","7","58",5,7099,307543,1639507,1,1,1
"hot","8","58",5,7099,307543,1639507,1,1,1
"hot","9","58",6,7099,307543,1639507,1,1,1
"hot","10","59",5,7099,307543,1639507,1,1,1
"hot","11","57",5,7099,307543,1639507,1,1,1
"hot","12","55",5,7099,307543,1639507,1,1,1
"hot","13","54",5,7099,307543,1639507,1,1,1
"hot","14","57",5,7099,307543,1639507,1,1,1
"hot","15","60",5,7099,307543,1639507,1,1,1
"hot","16","57",6,7099,307543,1639507,1,1,1
"hot","17","55",5,7099,307543,1639507,1,1,1
"hot","18","56",5,7099,307543,1639507,1,1,1
"hot","19","55",5,7099,307543,1639507,1,1,1
"hot","20","55",5,7099,307543,1639507,1,1,1
