mode,run,wall_ms,duration_ms,read_rows,read_bytes,memory_usage
"hot","1","82",10,499712,7005285,15653968
"hot","2","88",11,499712,7005285,15740324
"hot","3","106",10,499712,7005285,18027998
"hot","4","96",11,499712,7005285,15097116
"hot","5","85",10,499712,7005285,14879496
"hot","6","90",9,499712,7005285,19373021
"hot","7","88",10,499712,7005285,19373021
"hot","8","94",10,499712,7005285,14310453
"hot","9","87",9,499712,7005285,18598717
"hot","10","82",9,499712,7005285,19373021
"hot","11","97",10,499712,7005285,15097276
"hot","12","84",10,499712,7005285,19373021
"hot","13","96",10,499712,7005285,14310453
"hot","14","87",10,499712,7005285,18848733
"hot","15","96",10,499712,7005285,19373021
