mode,run,wall_ms,duration_ms,read_rows,read_bytes,memory_usage
"hot","1","93",9,434176,6078464,8456496
"hot","2","93",9,434176,6078464,12282038
"hot","3","92",8,434176,6078464,12282038
"hot","4","129",13,434176,6078464,7617193
"hot","5","83",9,434176,6078464,12282038
"hot","6","87",9,434176,6078464,7866608
"hot","7","85",7,434176,6078464,12282038
"hot","8","89",8,434176,6078464,7866608
"hot","9","91",8,434176,6078464,12282038
"hot","10","80",7,434176,6078464,12282038
"hot","11","111",8,434176,6078464,12282198
"hot","12","78",8,434176,6078464,12282038
"hot","13","87",8,434176,6078464,7866608
"hot","14","88",8,434176,6078464,12282038
"hot","15","87",8,434176,6078464,12282038
