mode,run,wall_ms,duration_ms,read_rows,read_bytes,memory_usage
"hot","1","107",27,8222817,115126680,4338210
"hot","2","114",26,8222817,115126680,4272642
"hot","3","162",55,8222817,115126680,4272642
"hot","4","110",30,8222817,115126680,4207074
"hot","5","117",29,8222817,115126680,4338210
"hot","6","111",28,8222817,115126680,4338210
"hot","7","119",27,8222817,115126680,4338210
"hot","8","115",27,8222817,115126680,4272642
"hot","9","103",27,8222817,115126680,4354322
"hot","10","112",30,8222817,115126680,4272642
"hot","11","108",26,8222817,115126680,4338210
"hot","12","112",27,8222817,115126680,4338210
"hot","13","127",29,8222817,115126680,4272642
"hot","14","124",27,8222817,115126680,4338210
"hot","15","109",26,8222817,115126680,4338210
