mode,run,wall_ms,duration_ms,read_rows,read_bytes,memory_usage
"hot","1","118",5,72021,3099198,6504783
"hot","2","111",7,72021,3099198,6504783
"hot","3","98",4,72021,3099198,6504943
"hot","4","95",5,72021,3099198,6504783
"hot","5","95",4,72021,3099198,6504783
"hot","6","108",6,72021,3099198,6504943
"hot","7","85",4,72021,3099198,6504783
"hot","8","92",4,72021,3099198,6504783
"hot","9","92",4,72021,3099198,6504783
"hot","10","83",3,72021,3099198,6504783
"hot","11","90",5,72021,3099198,6504783
"hot","12","90",3,72021,3099198,6504783
"hot","13","85",4,72021,3099198,6504783
"hot","14","92",4,72021,3099198,6504783
"hot","15","86",4,72021,3099198,6504783
